,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
8916,391650319036,1619.0,0.0,,102692.0,259700.0,,0.0,A,0.985,0.0,68.396770472895,0.0,,,1.3
8917,391650319037,3109.0,2.31,,204347.0,490600.0,,4.76,A,0.990,0.0,77.4394033561218,0.0,,,1.3
8918,391650319041,1698.0,12.58,1313.0,62500.0,130200.0,37.5,1.34,B,0.767,10.9118086696562,9.13081650570676,5.53691275167785,,20.4096,7.5
8919,391650319042,1749.0,9.53,1118.0,61818.0,144700.0,27.4,6.02,B,0.838,8.04597701149425,38.3720930232558,2.8125,,20.6347665728429,7.5
8920,391650319043,1657.0,58.05,1029.0,39920.0,153400.0,36.7,1.48,B,0.902,5.26893523600439,35.5314197051978,2.31749710312862,,27.7454909819639,7.5
8921,391650319044,1344.0,22.67,1101.0,91250.0,281900.0,29.9,0.0,A,0.982,0.0,68.3018867924528,0.0,,13.9791780821918,7.5
8922,391650320031,964.0,9.73,,113977.0,228300.0,,3.45,A,0.984,0.0,61.2852664576803,0.0,,,2.4
8923,391650320032,1981.0,57.87,1112.0,77379.0,216200.0,22.0,1.31,A,0.968,14.2857142857143,43.6437797416723,0.0,,14.9342844957934,2.4
8924,391650320033,2636.0,40.15,1068.0,90442.0,226900.0,29.8,1.28,A,0.972,6.04081632653061,57.7464788732394,1.27157129881926,,12.2995953207581,2.4
8925,391650320034,1350.0,46.44,1172.0,68378.0,177700.0,24.3,0.76,A,0.922,0.0,36.5921787709497,0.0,,17.0054695954839,2.4
8926,391650320041,4068.0,10.09,1797.0,117411.0,265700.0,27.6,2.13,A,0.988,1.16822429906542,64.0784634246016,1.81245074862096,,14.3904744870583,3.8
8927,391650320042,1958.0,9.23,917.0,118194.0,222800.0,17.2,5.71,A,0.954,5.63002680965147,51.0235026535254,4.11931818181818,,6.17290217777552,3.8
8928,391650320051,3550.0,7.38,2061.0,80431.0,219700.0,19.6,1.33,A,0.974,7.07964601769912,54.955338153977,0.0,,23.2895276696796,1.1
8929,391650320052,2561.0,50.21,1153.0,73558.0,175900.0,19.4,0.85,A,0.935,0.0,56.1460010735373,1.02476515798463,,16.0200114195601,1.1
