GEOID,unemployment_rate
390159518002,14.5
390159518003,14.5
390159518004,14.5
390159519001,7.8
390159519002,7.8
390159519003,7.8
390159519004,7.8
390170001001,6.4
390170001002,6.4
390170001003,6.4
390170001004,6.4
390170001005,6.4
390170001006,6.4
390170002001,9.7
390170002002,9.7
390170002003,9.7
390170002004,9.7
390170002005,9.7
390170003001,21.0
390170003002,21.0
390170003003,21.0
390170003004,21.0
390170004001,15.0
390170004002,15.0
390170004003,15.0
390170004004,15.0
390170004005,15.0
390170005001,11.8
390170005002,11.8
390170005003,11.8
390170005004,11.8
390170005005,11.8
390170005006,11.8
390170006001,9.9
390170006002,9.9
390170006003,9.9
390170006004,9.9
390170006005,9.9
390170006006,9.9
390170010011,9.8
390170010012,9.8
390170010013,9.8
390170010021,3.8
390170010022,3.8
390170010023,3.8
390170010024,3.8
390170011001,6.7
390170011002,6.7
390170011003,6.7
390170011004,6.7
390170011005,6.7
390170013001,8.9
390170013002,8.9
390170013003,8.9
390170101011,3.0
390170101012,3.0
390170101013,3.0
